======================================================================
HOPPER-AERO MODEE CONTROLLER (LCM)
- Always sends commands; underlying hopper_driver handles mode switching
- Right stick: desired vx/vy (same mapping as Hopper4.py)
- Press Y: start CSV log (saved under ~/hopper_logs/modee_csv/ by default). Log stops when program exits.
  (Override directory: export MODEE_LOG_DIR=/your/path)
======================================================================
[run_modee] LCM URL: udpm://239.255.76.67:7667?ttl=255
[run_modee] Safety limits:
  - tau_max: (20.0, 20.0, 20.0) Nm
  - tau_sign: (1.0, 1.0, 1.0)
  - tau_out_scale: 1.0
  - tau_out_max: 8.0
  - pwm_range: [1000.0, 1300.0] us
  - thrust_ratio: 0.22
  - thrust_max_each: 10.0 N/arm
  - thrust_min_each: 0.0 N/arm
  - wbc_w_t_ref: 0.01
  - wbc_w_tsum_ref: 0.0
  - swing_kp_xy: 20.0, swing_kd_xy: 0.8 (XY)
  - swing_kp_z: 220.0, swing_kd_z: 10 (Z)
  - use_foot_vel_lpf: True
  - foot_vel_lpf_tau: 0.015 s (~10.6 Hz cutoff)
======================================================================
[modee] waiting... have_motor=False have_imu=False have_gamepad=False
[modee] STANCE:COMP | pos=[-0.000,+0.000,-0.273]m | f_tot=[+95.90,+39.07,+195.04]N(w) | f_grf=[+95.90,+39.07,+195.04]N(w) | f_leg=[-95.90,-39.07,-195.04]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+2.46,+8.00,+2.35]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
[modee] STANCE:PUSH | pos=[+0.137,+0.010,-0.330]m | f_tot=[+84.21,+96.66,+120.83]N(w) | f_grf=[+84.21,+96.66,+120.83]N(w) | f_leg=[-84.21,-96.66,-120.83]N(w) | f_prop=[+0.00,+0.00,+0.00]N(w) | tau=[+4.37,+0.86,+8.00]Nm | pwm=[1000,1000,1000,1000,1000,1000]us
